treatment_id,animal_id,health_record_id,disease,diagnosis_date,treatment_start_date,medicine,medicine_type,dose,duration_days,veterinarian,isolation_advised,outcome,followup_date,cost_inr
TR0414,DS207,HR0276,Lumpy_Skin_Disease,2026-06-02,2026-06-02,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. A. Kulkarni,Yes,Referred to lab,2026-06-09,3500
TR0415,DS207,HR0276,Lumpy_Skin_Disease,2026-06-02,2026-06-02,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. A. Kulkarni,Yes,Referred to lab,2026-06-11,1800
TR0416,DS207,HR0276,Lumpy_Skin_Disease,2026-06-02,2026-06-02,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. A. Kulkarni,Yes,Referred to lab,2026-06-16,2400
TR0417,DS207,HR0276,Lumpy_Skin_Disease,2026-06-02,2026-06-02,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. A. Kulkarni,Yes,Referred to lab,2026-06-23,1800
TR0418,DS208,HR0277,Ringworm,2026-05-03,2026-05-03,Natamycin topical wash,Antifungal,As prescribed by veterinarian,14,Dr. A. Kulkarni,No,Under treatment,2026-05-21,300
TR0419,DS208,HR0277,Ringworm,2026-05-03,2026-05-04,Isolation and bedding disinfection,Management,As prescribed by veterinarian,14,Dr. A. Kulkarni,No,Under treatment,2026-05-19,2200
TR0420,DS209,HR0278,Foot_Mouth_Disease,2026-07-27,2026-07-28,Potassium permanganate mouth and foot wash,Antiseptic,As prescribed by veterinarian,7,Dr. M. Sawant,Yes,Recovered,2026-08-10,3300
TR0421,DS209,HR0278,Foot_Mouth_Disease,2026-07-27,2026-07-28,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. M. Sawant,Yes,Recovered,2026-08-08,3400
TR0422,DS209,HR0278,Foot_Mouth_Disease,2026-07-27,2026-07-27,Soft feed and oral fluids,Supportive,As prescribed by veterinarian,10,Dr. M. Sawant,Yes,Recovered,2026-08-13,1550
TR0423,DS210,HR0280,Ringworm,2026-08-04,2026-08-05,Natamycin topical wash,Antifungal,As prescribed by veterinarian,14,Dr. P. Naik,No,Recovered,2026-08-23,450
TR0424,DS210,HR0280,Ringworm,2026-08-04,2026-08-04,Isolation and bedding disinfection,Management,As prescribed by veterinarian,14,Dr. P. Naik,No,Recovered,2026-08-24,1050
TR0425,DS211,HR0282,Mastitis,2026-06-16,2026-06-17,Cloxacillin intramammary infusion,Antibiotic,As prescribed by veterinarian,5,Dr. S. Joshi,No,Recovered,2026-06-25,650
TR0426,DS211,HR0282,Mastitis,2026-06-16,2026-06-17,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. S. Joshi,No,Recovered,2026-06-22,3500
TR0427,DS211,HR0282,Mastitis,2026-06-16,2026-06-17,Teat dip and udder hygiene,Management,As prescribed by veterinarian,14,Dr. S. Joshi,No,Recovered,2026-07-03,750
TR0428,DS212,HR0284,Foot_Mouth_Disease,2026-07-31,2026-07-31,Potassium permanganate mouth and foot wash,Antiseptic,As prescribed by veterinarian,7,Dr. P. Naik,Yes,Under treatment,2026-08-14,3450
TR0429,DS212,HR0284,Foot_Mouth_Disease,2026-07-31,2026-08-01,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. P. Naik,Yes,Under treatment,2026-08-08,2500
TR0430,DS212,HR0284,Foot_Mouth_Disease,2026-07-31,2026-07-31,Soft feed and oral fluids,Supportive,As prescribed by veterinarian,10,Dr. P. Naik,Yes,Under treatment,2026-08-17,2250
TR0431,DS213,HR0285,Healthy,2026-06-05,2026-06-06,Deworming (routine),Preventive,As prescribed by veterinarian,1,Dr. V. Thorat,No,Recovered,2026-06-10,2100
TR0432,DS215,HR0287,Mastitis,2026-07-16,2026-07-16,Cloxacillin intramammary infusion,Antibiotic,As prescribed by veterinarian,5,Dr. A. Kulkarni,No,Recovered,2026-07-28,2350
TR0433,DS215,HR0287,Mastitis,2026-07-16,2026-07-17,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. A. Kulkarni,No,Recovered,2026-07-22,2600
TR0434,DS215,HR0287,Mastitis,2026-07-16,2026-07-17,Teat dip and udder hygiene,Management,As prescribed by veterinarian,14,Dr. A. Kulkarni,No,Recovered,2026-08-02,1550
TR0435,DS216,HR0289,Foot_Mouth_Disease,2026-09-01,2026-09-01,Potassium permanganate mouth and foot wash,Antiseptic,As prescribed by veterinarian,7,Dr. M. Sawant,Yes,Recovered,2026-09-11,3400
TR0436,DS216,HR0289,Foot_Mouth_Disease,2026-09-01,2026-09-02,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. M. Sawant,Yes,Recovered,2026-09-09,2150
TR0437,DS216,HR0289,Foot_Mouth_Disease,2026-09-01,2026-09-01,Soft feed and oral fluids,Supportive,As prescribed by veterinarian,10,Dr. M. Sawant,Yes,Recovered,2026-09-13,2050
TR0438,DS218,HR0292,Mastitis,2026-06-22,2026-06-22,Cloxacillin intramammary infusion,Antibiotic,As prescribed by veterinarian,5,Dr. R. Deshpande,No,Recovered,2026-07-04,2800
TR0439,DS218,HR0292,Mastitis,2026-06-22,2026-06-23,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. R. Deshpande,No,Recovered,2026-06-29,1650
TR0440,DS218,HR0292,Mastitis,2026-06-22,2026-06-23,Teat dip and udder hygiene,Management,As prescribed by veterinarian,14,Dr. R. Deshpande,No,Recovered,2026-07-10,1650
TR0441,DS219,HR0294,Foot_Mouth_Disease,2026-08-09,2026-08-09,Potassium permanganate mouth and foot wash,Antiseptic,As prescribed by veterinarian,7,Dr. A. Kulkarni,Yes,Recovered,2026-08-23,300
TR0442,DS219,HR0294,Foot_Mouth_Disease,2026-08-09,2026-08-10,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. A. Kulkarni,Yes,Recovered,2026-08-20,1100
TR0443,DS219,HR0294,Foot_Mouth_Disease,2026-08-09,2026-08-09,Soft feed and oral fluids,Supportive,As prescribed by veterinarian,10,Dr. A. Kulkarni,Yes,Recovered,2026-08-23,1900
TR0444,DS220,HR0296,Foot_Mouth_Disease,2026-09-12,2026-09-12,Potassium permanganate mouth and foot wash,Antiseptic,As prescribed by veterinarian,7,Dr. R. Deshpande,Yes,Recovered,2026-09-25,1800
TR0445,DS220,HR0296,Foot_Mouth_Disease,2026-09-12,2026-09-13,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. R. Deshpande,Yes,Recovered,2026-09-21,2900
TR0446,DS220,HR0296,Foot_Mouth_Disease,2026-09-12,2026-09-13,Soft feed and oral fluids,Supportive,As prescribed by veterinarian,10,Dr. R. Deshpande,Yes,Recovered,2026-09-27,750
TR0447,DS223,HR0300,Healthy,2026-08-14,2026-08-15,Deworming (routine),Preventive,As prescribed by veterinarian,1,Dr. R. Deshpande,No,Recovered,2026-08-20,600
TR0448,DS224,HR0301,Lumpy_Skin_Disease,2026-07-18,2026-07-18,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. P. Naik,Yes,Under treatment,2026-07-27,1550
TR0449,DS224,HR0301,Lumpy_Skin_Disease,2026-07-18,2026-07-18,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. P. Naik,Yes,Under treatment,2026-07-25,2050
TR0450,DS224,HR0301,Lumpy_Skin_Disease,2026-07-18,2026-07-18,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. P. Naik,Yes,Under treatment,2026-08-03,3450
TR0451,DS224,HR0301,Lumpy_Skin_Disease,2026-07-18,2026-07-19,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. P. Naik,Yes,Under treatment,2026-08-05,1150
TR0452,DS225,HR0302,Healthy,2026-08-28,2026-08-28,Mineral mixture supplement,Preventive,As prescribed by veterinarian,30,Dr. M. Sawant,No,Recovered,2026-10-03,2500
TR0453,DS226,HR0303,Ringworm,2026-09-19,2026-09-19,Natamycin topical wash,Antifungal,As prescribed by veterinarian,14,Dr. V. Thorat,No,Under treatment,2026-10-07,2900
TR0454,DS226,HR0303,Ringworm,2026-09-19,2026-09-20,Isolation and bedding disinfection,Management,As prescribed by veterinarian,14,Dr. V. Thorat,No,Under treatment,2026-10-09,2350
TR0455,DS227,HR0304,Lumpy_Skin_Disease,2026-09-06,2026-09-06,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. V. Thorat,Yes,Recovered,2026-09-17,950
TR0456,DS227,HR0304,Lumpy_Skin_Disease,2026-09-06,2026-09-07,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. V. Thorat,Yes,Recovered,2026-09-12,1200
TR0457,DS227,HR0304,Lumpy_Skin_Disease,2026-09-06,2026-09-06,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. V. Thorat,Yes,Recovered,2026-09-21,1550
TR0458,DS227,HR0304,Lumpy_Skin_Disease,2026-09-06,2026-09-07,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. V. Thorat,Yes,Recovered,2026-09-25,250
TR0459,DS228,HR0306,Lumpy_Skin_Disease,2026-09-04,2026-09-05,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. A. Kulkarni,Yes,Recovered,2026-09-16,2100
TR0460,DS228,HR0306,Lumpy_Skin_Disease,2026-09-04,2026-09-04,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. A. Kulkarni,Yes,Recovered,2026-09-09,1500
TR0461,DS228,HR0306,Lumpy_Skin_Disease,2026-09-04,2026-09-05,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. A. Kulkarni,Yes,Recovered,2026-09-16,3500
TR0462,DS228,HR0306,Lumpy_Skin_Disease,2026-09-04,2026-09-05,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. A. Kulkarni,Yes,Recovered,2026-09-22,3500
TR0463,DS229,HR0308,Ringworm,2026-08-14,2026-08-15,Natamycin topical wash,Antifungal,As prescribed by veterinarian,14,Dr. R. Deshpande,No,Recovered,2026-08-31,2100
TR0464,DS230,HR0310,Ringworm,2026-07-16,2026-07-16,Natamycin topical wash,Antifungal,As prescribed by veterinarian,14,Dr. M. Sawant,No,Under treatment,2026-08-06,1850
TR0465,DS230,HR0310,Ringworm,2026-07-16,2026-07-16,Isolation and bedding disinfection,Management,As prescribed by veterinarian,14,Dr. M. Sawant,No,Under treatment,2026-08-01,3250
TR0466,DS233,HR0313,Foot_Mouth_Disease,2026-09-19,2026-09-20,Potassium permanganate mouth and foot wash,Antiseptic,As prescribed by veterinarian,7,Dr. M. Sawant,Yes,Recovered,2026-10-01,2000
TR0467,DS233,HR0313,Foot_Mouth_Disease,2026-09-19,2026-09-20,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. M. Sawant,Yes,Recovered,2026-10-01,3150
TR0468,DS233,HR0313,Foot_Mouth_Disease,2026-09-19,2026-09-19,Soft feed and oral fluids,Supportive,As prescribed by veterinarian,10,Dr. M. Sawant,Yes,Recovered,2026-10-01,1450
TR0469,DS234,HR0314,Lumpy_Skin_Disease,2026-07-24,2026-07-24,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. V. Thorat,Yes,Under treatment,2026-08-05,1050
TR0470,DS234,HR0314,Lumpy_Skin_Disease,2026-07-24,2026-07-24,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. V. Thorat,Yes,Under treatment,2026-07-31,2650
TR0471,DS234,HR0314,Lumpy_Skin_Disease,2026-07-24,2026-07-25,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. V. Thorat,Yes,Under treatment,2026-08-09,1850
TR0472,DS234,HR0314,Lumpy_Skin_Disease,2026-07-24,2026-07-24,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. V. Thorat,Yes,Under treatment,2026-08-10,900
TR0473,DS236,HR0316,Ringworm,2026-09-20,2026-09-20,Natamycin topical wash,Antifungal,As prescribed by veterinarian,14,Dr. S. Joshi,No,Recovered,2026-10-11,950
TR0474,DS236,HR0316,Ringworm,2026-09-20,2026-09-20,Isolation and bedding disinfection,Management,As prescribed by veterinarian,14,Dr. S. Joshi,No,Recovered,2026-10-10,3400
TR0475,DS237,HR0317,Ringworm,2026-05-27,2026-05-28,Natamycin topical wash,Antifungal,As prescribed by veterinarian,14,Dr. S. Joshi,No,Under treatment,2026-06-15,3250
TR0476,DS237,HR0317,Ringworm,2026-05-27,2026-05-27,Isolation and bedding disinfection,Management,As prescribed by veterinarian,14,Dr. S. Joshi,No,Under treatment,2026-06-13,3550
TR0477,DS238,HR0318,Mastitis,2026-08-04,2026-08-05,Cloxacillin intramammary infusion,Antibiotic,As prescribed by veterinarian,5,Dr. P. Naik,No,Under treatment,2026-08-13,400
TR0478,DS238,HR0318,Mastitis,2026-08-04,2026-08-04,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. P. Naik,No,Under treatment,2026-08-12,1150
TR0479,DS238,HR0318,Mastitis,2026-08-04,2026-08-04,Teat dip and udder hygiene,Management,As prescribed by veterinarian,14,Dr. P. Naik,No,Under treatment,2026-08-20,3250
TR0480,DS239,HR0319,Lumpy_Skin_Disease,2026-09-10,2026-09-10,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. V. Thorat,Yes,Under treatment,2026-09-17,1550
TR0481,DS239,HR0319,Lumpy_Skin_Disease,2026-09-10,2026-09-11,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. V. Thorat,Yes,Under treatment,2026-09-15,2900
TR0482,DS239,HR0319,Lumpy_Skin_Disease,2026-09-10,2026-09-10,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. V. Thorat,Yes,Under treatment,2026-09-25,1200
TR0483,DS239,HR0319,Lumpy_Skin_Disease,2026-09-10,2026-09-10,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. V. Thorat,Yes,Under treatment,2026-09-29,2250
TR0484,DS240,HR0320,Ringworm,2026-09-01,2026-09-02,Natamycin topical wash,Antifungal,As prescribed by veterinarian,14,Dr. P. Naik,No,Recovered,2026-09-17,750
TR0485,DS240,HR0320,Ringworm,2026-09-01,2026-09-02,Isolation and bedding disinfection,Management,As prescribed by veterinarian,14,Dr. P. Naik,No,Recovered,2026-09-17,1850
